fname,encodingLimit_y,encodingLimit_z,encodingSpace_matrix,encodingSpace_FoV,ReconSpace_FoV,Number_of_acquisition
meas_MID00098_FID04683_t2_space_cor_p3_trig_384_iso_2,"limitType(minimum=0, maximum=383, center=192)","limitType(minimum=0, maximum=19, center=10)","matrixSizeType(x=768, y=768, z=20)","fieldOfViewMmType(x=760.0, y=380.0, z=20.0)","fieldOfViewMmType(x=380.0, y=380.0, z=20.0)",11257
meas_MID00099_FID04684_t2_space_cor_p3_trig_384_iso_3,"limitType(minimum=0, maximum=309, center=192)","limitType(minimum=0, maximum=19, center=10)","matrixSizeType(x=768, y=768, z=20)","fieldOfViewMmType(x=760.0, y=380.0, z=20.0)","fieldOfViewMmType(x=380.0, y=380.0, z=20.0)",10069
meas_MID00100_FID04685_t2_space_cor_p3_trig_384_iso_4,"limitType(minimum=0, maximum=309, center=192)","limitType(minimum=0, maximum=17, center=8)","matrixSizeType(x=768, y=768, z=20)","fieldOfViewMmType(x=760.0, y=380.0, z=20.0)","fieldOfViewMmType(x=380.0, y=380.0, z=20.0)",9463
meas_MID00101_FID04686_t2_space_cor_p3_trig_384_iso_5,"limitType(minimum=0, maximum=307, center=192)","limitType(minimum=0, maximum=12, center=7)","matrixSizeType(x=768, y=768, z=20)","fieldOfViewMmType(x=760.0, y=380.0, z=20.0)","fieldOfViewMmType(x=380.0, y=380.0, z=20.0)",8028
meas_MID00102_FID04687_t2_space_cor_p3_trig_384_iso_6,"limitType(minimum=0, maximum=307, center=192)","limitType(minimum=0, maximum=13, center=6)","matrixSizeType(x=768, y=768, z=22)","fieldOfViewMmType(x=760.0, y=380.0, z=22.0)","fieldOfViewMmType(x=380.0, y=380.0, z=20.0)",8230
meas_MID00103_FID04688_t2_space_cor_p3_trig_384_iso_7,"limitType(minimum=0, maximum=528, center=326)","limitType(minimum=0, maximum=13, center=6)","matrixSizeType(x=768, y=1306, z=22)","fieldOfViewMmType(x=760.0, y=380.0, z=22.0)","fieldOfViewMmType(x=380.0, y=380.0, z=20.0)",11103
meas_MID00105_FID04690_t2_space_cor_p3_trig_384_iso_8,"limitType(minimum=0, maximum=287, center=144)","limitType(minimum=0, maximum=19, center=10)","matrixSizeType(x=768, y=576, z=20)","fieldOfViewMmType(x=760.0, y=285.0, z=20.0)","fieldOfViewMmType(x=380.0, y=285.0, z=20.0)",14340
meas_MID00106_FID04691_t2_space_cor_p3_trig_384_iso_1,"limitType(minimum=0, maximum=383, center=192)","limitType(minimum=0, maximum=19, center=10)","matrixSizeType(x=768, y=768, z=20)","fieldOfViewMmType(x=760.0, y=380.0, z=20.0)","fieldOfViewMmType(x=380.0, y=380.0, z=20.0)",17736
meas_MID00107_FID04692_t2_space_cor_p3_trig_384_iso_9,"limitType(minimum=0, maximum=377, center=240)","limitType(minimum=0, maximum=13, center=6)","matrixSizeType(x=768, y=980, z=22)","fieldOfViewMmType(x=760.0, y=285.0, z=22.0)","fieldOfViewMmType(x=380.0, y=285.0, z=20.0)",7617
meas_MID00108_FID04693_t2_space_cor_p3_trig_384_iso_10,"limitType(minimum=0, maximum=528, center=326)","limitType(minimum=0, maximum=12, center=7)","matrixSizeType(x=768, y=1306, z=20)","fieldOfViewMmType(x=760.0, y=380.0, z=20.0)","fieldOfViewMmType(x=380.0, y=380.0, z=20.0)",10591
